route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
2,Departure Bay,Horseshoe Bay,2017,02,09,08,30,Queen of Oak Bay,104
30,Tsawwassen,Duke Point,2017,03,09,17,45,Coastal Inspiration,125
1,Swartz Bay,Tsawwassen,2017,03,05,15,00,Coastal Celebration,88
3,Langdale,Horseshoe Bay,2017,03,11,12,35,Queen of Surrey,37
8,Horseshoe Bay,Bowen Island,2017,03,11,14,25,Queen of Capilano,17
1,Tsawwassen,Swartz Bay,2017,03,31,14,00,Queen of New Westminster,88
2,Departure Bay,Horseshoe Bay,2017,03,23,19,00,Queen of Cowichan,106
3,Langdale,Horseshoe Bay,2017,04,21,06,20,Queen of Surrey,38
1,Tsawwassen,Swartz Bay,2017,03,04,11,00,Coastal Renaissance,90
3,Horseshoe Bay,Langdale,2017,02,04,11,30,Queen of Surrey,42
1,Tsawwassen,Swartz Bay,2017,02,19,21,00,Coastal Celebration,106
8,Horseshoe Bay,Bowen Island,2017,02,02,21,30,Queen of Capilano,24
3,Langdale,Horseshoe Bay,2017,02,09,13,35,Queen of Coquitlam,35
8,Horseshoe Bay,Bowen Island,2017,03,03,21,30,Queen of Capilano,20
1,Swartz Bay,Tsawwassen,2017,03,11,21,00,Coastal Renaissance,86
2,Departure Bay,Horseshoe Bay,2017,04,07,21,00,Queen of Oak Bay,118
30,Duke Point,Tsawwassen,2017,03,04,10,15,Coastal Inspiration,121
8,Horseshoe Bay,Bowen Island,2017,03,18,17,30,Queen of Capilano,18
1,Swartz Bay,Tsawwassen,2017,04,01,11,00,Coastal Renaissance,94
8,Horseshoe Bay,Bowen Island,2017,04,09,08,00,Queen of Capilano,20
30,Duke Point,Tsawwassen,2017,03,07,10,15,Coastal Inspiration,121
3,Langdale,Horseshoe Bay,2017,02,27,10,25,Queen of Surrey,41
3,Horseshoe Bay,Langdale,2017,02,10,11,30,Queen of Surrey,37
1,Swartz Bay,Tsawwassen,2017,03,12,09,00,Coastal Renaissance,90
1,Tsawwassen,Swartz Bay,2017,04,16,16,00,Queen of New Westminster,92
2,Horseshoe Bay,Departure Bay,2017,02,01,19,00,Queen of Oak Bay,100
2,Horseshoe Bay,Departure Bay,2017,04,10,08,30,Queen of Cowichan,100
8,Horseshoe Bay,Bowen Island,2017,04,01,21,30,Queen of Capilano,16
3,Horseshoe Bay,Langdale,2017,02,22,09,25,Queen of Surrey,39
2,Horseshoe Bay,Departure Bay,2017,03,14,06,30,Queen of Oak Bay,98
3,Langdale,Horseshoe Bay,2017,02,26,17,50,Queen of Coquitlam,38
30,Tsawwassen,Duke Point,2017,02,17,17,45,Coastal Inspiration,119
3,Horseshoe Bay,Langdale,2017,02,22,15,50,Queen of Surrey,42
3,Langdale,Horseshoe Bay,2017,04,23,20,45,Queen of Surrey,45
3,Langdale,Horseshoe Bay,2017,02,21,09,25,Queen of Coquitlam,37
4,Swartz Bay,Fulford Harbour,2017,02,21,19,00,Skeena Queen,32
8,Horseshoe Bay,Bowen Island,2017,03,29,21,30,Queen of Capilano,16
1,Tsawwassen,Swartz Bay,2017,04,17,19,00,Spirit of British Columbia,98
8,Horseshoe Bay,Bowen Island,2017,03,21,07,00,Queen of Capilano,20
30,Tsawwassen,Duke Point,2017,04,19,07,45,Coastal Inspiration,123
1,Tsawwassen,Swartz Bay,2017,02,08,17,00,Coastal Celebration,92
4,Swartz Bay,Fulford Harbour,2017,03,06,07,00,Skeena Queen,32
3,Horseshoe Bay,Langdale,2017,02,28,12,30,Queen of Coquitlam,38
8,Horseshoe Bay,Bowen Island,2017,02,20,06,00,Queen of Capilano,18
1,Tsawwassen,Swartz Bay,2017,02,20,07,00,Coastal Renaissance,90
2,Departure Bay,Horseshoe Bay,2017,02,11,08,30,Queen of Oak Bay,112
8,Horseshoe Bay,Bowen Island,2017,04,18,14,25,Queen of Capilano,17
3,Horseshoe Bay,Langdale,2017,04,16,11,30,Queen of Surrey,40
